FID,BuildingID,landUseTyp,Area,Fheight,Fnum,Height,Age,LandNum,Cluster,Centre
10015,85511104.0,Residential_1,297.7667,0.0,0,2.0,1970.0,0,1.0,-1.0
10016,85511105.0,Residential_1,158.3743,0.0,0,2.0,1970.0,0,1.0,-1.0
10025,85511116.0,Residential_1,113.083,0.0,0,3.0,1970.0,0,1.0,-1.0
10026,85511117.0,Residential_1,87.7474,0.0,0,3.0,1970.0,0,1.0,-1.0
10030,85511127.0,Residential_1,80.5671,0.0,0,3.0,1970.0,0,1.0,-1.0
10031,85511128.0,Residential_1,80.5785,0.0,0,3.0,1970.0,0,1.0,-1.0
10039,85511279.0,Residential_1,122.0806,0.0,0,2.0,1970.0,0,1.0,-1.0
10040,85511280.0,Residential_1,122.0799,0.0,0,2.0,1970.0,0,1.0,-1.0
10059,85511429.0,Residential_1,78.4795,0.0,0,2.0,1970.0,0,1.0,-1.0
10099,85511635.0,Residential_1,102.149,0.0,0,3.0,1970.0,0,1.0,-1.0
10100,85511636.0,Residential_1,60.8228,0.0,0,3.0,1970.0,0,1.0,-1.0
10101,85511637.0,Residential_1,102.1473,0.0,0,3.0,1970.0,0,1.0,-1.0
10112,85511683.0,Residential_1,53.3258,0.0,0,2.0,1970.0,0,1.0,-1.0
10113,85511684.0,Residential_1,94.5145,0.0,0,2.0,1970.0,0,1.0,-1.0
10116,85511687.0,Residential_1,58.2432,0.0,0,2.0,1970.0,0,1.0,-1.0
10120,85511694.0,Residential_1,60.6467,0.0,0,3.0,1970.0,0,1.0,-1.0
10121,85511695.0,Residential_1,50.518,0.0,0,3.0,1970.0,0,1.0,-1.0
10165,85511986.0,Residential_1,60.4281,0.0,0,3.0,1970.0,0,1.0,-1.0
10166,85511987.0,Residential_1,63.1899,0.0,0,3.0,1970.0,0,1.0,-1.0
10167,85511933.0,Residential_1,308.5214,0.0,0,3.0,1970.0,0,1.0,-1.0
10168,85511934.0,Residential_1,96.1292,0.0,0,3.0,1970.0,0,1.0,-1.0
10169,85511935.0,Residential_1,96.1894,0.0,0,3.0,1970.0,0,1.0,-1.0
10170,85511936.0,Residential_1,96.1367,0.0,0,3.0,1970.0,0,1.0,-1.0
10171,85511937.0,Residential_1,96.1522,0.0,0,3.0,1970.0,0,1.0,-1.0
10172,85511938.0,Residential_1,96.5833,0.0,0,3.0,1970.0,0,1.0,-1.0
10173,85511939.0,Residential_1,96.5433,0.0,0,3.0,1970.0,0,1.0,-1.0
10174,85511941.0,Residential_1,111.6874,0.0,0,3.0,1970.0,0,1.0,-1.0
10175,85511942.0,Residential_1,101.4543,0.0,0,3.0,1970.0,0,1.0,-1.0
10176,85511943.0,Residential_1,125.8201,0.0,0,3.0,1970.0,0,1.0,-1.0
10177,85511944.0,Residential_1,61.6173,0.0,0,3.0,1970.0,0,1.0,-1.0
10178,85511945.0,Residential_1,119.6549,0.0,0,3.0,1970.0,0,1.0,-1.0
10179,85511946.0,Residential_1,119.2247,0.0,0,3.0,1970.0,0,1.0,-1.0
10180,85511947.0,Residential_1,119.8082,0.0,0,3.0,1970.0,0,1.0,-1.0
10181,85511948.0,Residential_1,119.4459,0.0,0,3.0,1970.0,0,1.0,-1.0
10182,85511949.0,Residential_1,119.9859,0.0,0,3.0,1970.0,0,1.0,-1.0
10183,85511950.0,Residential_1,72.9735,0.0,0,3.0,1970.0,0,1.0,-1.0
10185,85511953.0,Residential_1,53.4425,0.0,0,3.0,1970.0,0,1.0,-1.0
10200,85511927.0,Residential_1,76.1838,0.0,0,3.0,1970.0,0,1.0,-1.0
10627,85374892.0,Residential_1,747.2294,3.0,3,9.0,1970.0,0,2.0,-1.0
10748,85399109.0,Residential_1,441.0101,3.0,2,6.0,1970.0,0,2.0,-1.0
